tipo_entidad,institucion,pais,sector,lat,lon
Universidad,University of Bonn,Germany,Otros,51.165691,10.451526
Universidad,University of Frankfurt Medical School FFM,Germany,Otros,51.165691,10.451526
Universidad,University of Konstanz,Germany,Otros,51.165691,10.451526
Universidad,University of Munich,Germany,Otros,51.165691,10.451526
Universidad,University of Munich ,Germany,Otros,51.165691,10.451526
Universidad,University of Regensburg,Germany,Otros,51.165691,10.451526
Universidad,University of Rostock,Germany,,51.165691,10.451526
Universidad,University of Schleswig-Holstein,Germany,Otros,51.165691,10.451526
Universidad,"University of Technology, Dresden",Germany,Otros,51.165691,10.451526
Universidad,University Wuerzburg University Wuerzburg,Germany,Otros,51.165691,10.451526
Centro Tecnológico,Empirica,Germany,E-health,51.165691,10.451526
Centro Tecnológico,Fraunhofer Gesellschaft,Germany,Medical Devices,51.165691,10.451526
Centro Tecnológico,Fraunhofer IAO,Germany,Otros,51.165691,10.451526
Centro Tecnológico,Fraunhofer IAO,Germany,Medical Devices,51.165691,10.451526
Centro Tecnológico,Fraunhofer Institute for Algorithms and Scientific Computing (FHG),Germany,TIC,51.165691,10.451526
Centro Tecnológico,Fraunhofer Institute for Cell Therapy & immunology,Germany,Nanotech,51.165691,10.451526
Centro Tecnológico,Fraunhofer MEVIS,Germany,TIC,51.165691,10.451526
Centro Tecnológico,Institut f. Niedertemperatur-plasmaphysik Greifswald,Germany,Medical Devices,51.165691,10.451526
Centro Tecnológico,Institut für Mikrotechnik Mainz,Germany,Medical Devices,51.165691,10.451526
Centro Tecnológico,Max Plack Institute for Informatics,Germany,TIC,51.165691,10.451526
Centro de Investigación,German Institute of Human Nutrition,Germany,Alimentación,51.165691,10.451526
Universidad,Charite Universitatsmedizin Berlin,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Christian-Albrechts- Universitaet zu Kiel,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Johannes Gutenberg-Universität Mainz,Germany               ,Otros,51.165691,10.451526
Universidad,Ludwig-Maximilians-Universitaet Muenchen,Germany               ,TIC,51.165691,10.451526
Universidad,Medizinische Hochschule Hannover,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Otto-Von-Guericke-Universitaet Magdeburg,Germany               ,TIC,51.165691,10.451526
Universidad,Technische Universität Dresden,Germany               ,Medical Devices,51.165691,10.451526
Universidad,Technische Universität München,Germany               ,Medical Devices,51.165691,10.451526
Universidad,Technische Universität München,Germany               ,Medical Devices,51.165691,10.451526
Universidad,Universitaet des Saarlandes,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Universitaet Leipzig,Germany               ,TIC,51.165691,10.451526
Universidad,Universitaet Rostock,Germany               ,Otros,51.165691,10.451526
Universidad,Universitaet Ulm,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Universitaetsklinikum Essen,Germany               ,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Universitaetsklinikum Freiburg,Germany               ,TIC,51.165691,10.451526
Universidad,Universitaetsklinikum Hamburg-Eppendorf ,Germany               ,Otros,51.165691,10.451526
